user_id,stars,date,aspect,sentiment,cluster,nrc_positive,nrc_joy,nrc_trust,nrc_anticipation,nrc_surprise,nrc_anger,nrc_disgust,nrc_fear,nrc_negative,nrc_sadness
user_1,2,2015-03-04,food,1,1,0.42,2.03,1.04,1.21,2.37,2.08,0.89,0.74,1.31,1.42
user_1,2,2015-03-04,service,0,1,0.42,2.03,1.04,1.21,2.37,2.08,0.89,0.74,1.31,1.42
user_1,2,2015-03-04,ambience,1,1,0.42,2.03,1.04,1.21,2.37,2.08,0.89,0.74,1.31,1.42
user_1,2,2015-03-04,price,1,1,0.42,2.03,1.04,1.21,2.37,2.08,0.89,0.74,1.31,1.42
user_1,2,2015-03-04,location,1,1,0.42,2.03,1.04,1.21,2.37,2.08,0.89,0.74,1.31,1.42
user_2,4,2017-05-11,food,1,2,2.17,1.05,2.38,1.52,3.9,2.24,0.73,1.49,2.15,0.68
user_2,4,2017-05-11,service,-1,2,2.17,1.05,2.38,1.52,3.9,2.24,0.73,1.49,2.15,0.68
user_2,4,2017-05-11,ambience,0,2,2.17,1.05,2.38,1.52,3.9,2.24,0.73,1.49,2.15,0.68
user_2,4,2017-05-11,price,1,2,2.17,1.05,2.38,1.52,3.9,2.24,0.73,1.49,2.15,0.68
user_2,4,2017-05-11,location,1,2,2.17,1.05,2.38,1.52,3.9,2.24,0.73,1.49,2.15,0.68
user_3,2,2016-02-22,food,1,1,1.7,0.55,1.44,2.85,1.76,1.48,0.64,1.29,0.81,0.97
user_3,2,2016-02-22,service,1,1,1.7,0.55,1.44,2.85,1.76,1.48,0.64,1.29,0.81,0.97
user_3,2,2016-02-22,ambience,0,1,1.7,0.55,1.44,2.85,1.76,1.48,0.64,1.29,0.81,0.97
user_3,2,2016-02-22,price,1,1,1.7,0.55,1.44,2.85,1.76,1.48,0.64,1.29,0.81,0.97
user_3,2,2016-02-22,location,1,1,1.7,0.55,1.44,2.85,1.76,1.48,0.64,1.29,0.81,0.97
user_4,1,2019-12-08,food,1,3,1.11,1.87,0.86,2.7,1.52,1.28,1.13,0.05,1.71,0.2
user_4,1,2019-12-08,service,1,3,1.11,1.87,0.86,2.7,1.52,1.28,1.13,0.05,1.71,0.2
user_4,1,2019-12-08,ambience,-1,3,1.11,1.87,0.86,2.7,1.52,1.28,1.13,0.05,1.71,0.2
user_4,1,2019-12-08,price,-1,3,1.11,1.87,0.86,2.7,1.52,1.28,1.13,0.05,1.71,0.2
user_4,1,2019-12-08,location,1,3,1.11,1.87,0.86,2.7,1.52,1.28,1.13,0.05,1.71,0.2
user_5,4,2018-12-19,food,1,2,1.78,1.52,1.33,1.62,1.74,1.92,0.84,0.79,1.94,0.7
user_5,4,2018-12-19,service,-1,2,1.78,1.52,1.33,1.62,1.74,1.92,0.84,0.79,1.94,0.7
user_5,4,2018-12-19,ambience,0,2,1.78,1.52,1.33,1.62,1.74,1.92,0.84,0.79,1.94,0.7
user_5,4,2018-12-19,price,1,2,1.78,1.52,1.33,1.62,1.74,1.92,0.84,0.79,1.94,0.7
user_5,4,2018-12-19,location,0,2,1.78,1.52,1.33,1.62,1.74,1.92,0.84,0.79,1.94,0.7
user_6,5,2019-04-20,food,0,1,1.41,0.85,1.2,1.87,2.06,1.78,1.16,0.38,2.02,1.56
user_6,5,2019-04-20,service,1,1,1.41,0.85,1.2,1.87,2.06,1.78,1.16,0.38,2.02,1.56
user_6,5,2019-04-20,ambience,1,1,1.41,0.85,1.2,1.87,2.06,1.78,1.16,0.38,2.02,1.56
user_6,5,2019-04-20,price,1,1,1.41,0.85,1.2,1.87,2.06,1.78,1.16,0.38,2.02,1.56
user_6,5,2019-04-20,location,1,1,1.41,0.85,1.2,1.87,2.06,1.78,1.16,0.38,2.02,1.56
user_7,4,2018-04-03,food,1,2,1.91,1.06,1.22,1.17,1.57,2.03,0.08,0.41,2.13,1.5
user_7,4,2018-04-03,service,0,2,1.91,1.06,1.22,1.17,1.57,2.03,0.08,0.41,2.13,1.5
user_7,4,2018-04-03,ambience,1,2,1.91,1.06,1.22,1.17,1.57,2.03,0.08,0.41,2.13,1.5
user_7,4,2018-04-03,price,1,2,1.91,1.06,1.22,1.17,1.57,2.03,0.08,0.41,2.13,1.5
user_7,4,2018-04-03,location,1,2,1.91,1.06,1.22,1.17,1.57,2.03,0.08,0.41,2.13,1.5
user_8,4,2019-06-06,food,1,3,1.73,1.87,1.43,1.7,1.79,1.8,1.17,0.17,1.81,0.89
user_8,4,2019-06-06,service,0,3,1.73,1.87,1.43,1.7,1.79,1.8,1.17,0.17,1.81,0.89
user_8,4,2019-06-06,ambience,1,3,1.73,1.87,1.43,1.7,1.79,1.8,1.17,0.17,1.81,0.89
user_8,4,2019-06-06,price,-1,3,1.73,1.87,1.43,1.7,1.79,1.8,1.17,0.17,1.81,0.89
