user_id,stars,date,aspect,sentiment,cluster,nrc_positive,nrc_joy,nrc_trust,nrc_anticipation,nrc_surprise,nrc_anger,nrc_disgust,nrc_fear,nrc_negative,nrc_sadness
user_1,1,2016-02-22,food,0,1,4.06,1.12,2.98,2.87,1.81,1.1,0.8,2.95,2.7,2.59
user_1,1,2016-02-22,service,1,1,4.06,1.12,2.98,2.87,1.81,1.1,0.8,2.95,2.7,2.59
user_1,1,2016-02-22,ambience,0,1,4.06,1.12,2.98,2.87,1.81,1.1,0.8,2.95,2.7,2.59
user_1,1,2016-02-22,price,1,1,4.06,1.12,2.98,2.87,1.81,1.1,0.8,2.95,2.7,2.59
user_1,1,2016-02-22,location,1,1,4.06,1.12,2.98,2.87,1.81,1.1,0.8,2.95,2.7,2.59
user_2,4,2015-06-02,food,1,3,1.98,1.86,2.41,3.06,4.29,0.97,0.48,3.45,2.76,1.8
user_2,4,2015-06-02,service,0,3,1.98,1.86,2.41,3.06,4.29,0.97,0.48,3.45,2.76,1.8
user_2,4,2015-06-02,ambience,1,3,1.98,1.86,2.41,3.06,4.29,0.97,0.48,3.45,2.76,1.8
user_2,4,2015-06-02,price,0,3,1.98,1.86,2.41,3.06,4.29,0.97,0.48,3.45,2.76,1.8
user_2,4,2015-06-02,location,0,3,1.98,1.86,2.41,3.06,4.29,0.97,0.48,3.45,2.76,1.8
user_3,1,2017-08-02,food,1,4,4.78,1.52,3.02,2.64,1.51,0.08,0.6,3.56,3.06,2.6
user_3,1,2017-08-02,service,1,4,4.78,1.52,3.02,2.64,1.51,0.08,0.6,3.56,3.06,2.6
user_3,1,2017-08-02,ambience,-1,4,4.78,1.52,3.02,2.64,1.51,0.08,0.6,3.56,3.06,2.6
user_3,1,2017-08-02,price,1,4,4.78,1.52,3.02,2.64,1.51,0.08,0.6,3.56,3.06,2.6
user_3,1,2017-08-02,location,1,4,4.78,1.52,3.02,2.64,1.51,0.08,0.6,3.56,3.06,2.6
user_4,2,2017-03-21,food,0,0,1.72,0.85,2.37,2.81,1.68,1.56,0.3,3.91,2.89,3.19
user_4,2,2017-03-21,service,1,0,1.72,0.85,2.37,2.81,1.68,1.56,0.3,3.91,2.89,3.19
user_4,2,2017-03-21,ambience,1,0,1.72,0.85,2.37,2.81,1.68,1.56,0.3,3.91,2.89,3.19
user_4,2,2017-03-21,price,1,0,1.72,0.85,2.37,2.81,1.68,1.56,0.3,3.91,2.89,3.19
user_4,2,2017-03-21,location,1,0,1.72,0.85,2.37,2.81,1.68,1.56,0.3,3.91,2.89,3.19
user_5,2,2015-07-15,food,-1,1,3.09,2.07,1.27,3.37,4.11,0.3,0.15,3.1,3.9,2.15
user_5,2,2015-07-15,service,1,1,3.09,2.07,1.27,3.37,4.11,0.3,0.15,3.1,3.9,2.15
user_5,2,2015-07-15,ambience,1,1,3.09,2.07,1.27,3.37,4.11,0.3,0.15,3.1,3.9,2.15
user_5,2,2015-07-15,price,1,1,3.09,2.07,1.27,3.37,4.11,0.3,0.15,3.1,3.9,2.15
user_5,2,2015-07-15,location,1,1,3.09,2.07,1.27,3.37,4.11,0.3,0.15,3.1,3.9,2.15
user_6,4,2016-11-06,food,1,2,3.05,0.43,0.9,3.51,1.78,0.91,1.07,2.79,3.26,1.39
user_6,4,2016-11-06,service,1,2,3.05,0.43,0.9,3.51,1.78,0.91,1.07,2.79,3.26,1.39
user_6,4,2016-11-06,ambience,1,2,3.05,0.43,0.9,3.51,1.78,0.91,1.07,2.79,3.26,1.39
user_6,4,2016-11-06,price,1,2,3.05,0.43,0.9,3.51,1.78,0.91,1.07,2.79,3.26,1.39
user_6,4,2016-11-06,location,1,2,3.05,0.43,0.9,3.51,1.78,0.91,1.07,2.79,3.26,1.39
user_7,1,2015-03-24,food,1,3,3.18,0.48,3.18,2.53,2.9,0.87,0.24,3.52,2.69,2.31
user_7,1,2015-03-24,service,0,3,3.18,0.48,3.18,2.53,2.9,0.87,0.24,3.52,2.69,2.31
user_7,1,2015-03-24,ambience,-1,3,3.18,0.48,3.18,2.53,2.9,0.87,0.24,3.52,2.69,2.31
user_7,1,2015-03-24,price,1,3,3.18,0.48,3.18,2.53,2.9,0.87,0.24,3.52,2.69,2.31
user_7,1,2015-03-24,location,0,3,3.18,0.48,3.18,2.53,2.9,0.87,0.24,3.52,2.69,2.31
user_8,1,2015-03-17,food,1,4,2.3,1.39,2.12,2.77,2.38,1.07,0.34,3.79,3.74,1.67
user_8,1,2015-03-17,service,1,4,2.3,1.39,2.12,2.77,2.38,1.07,0.34,3.79,3.74,1.67
user_8,1,2015-03-17,ambience,1,4,2.3,1.39,2.12,2.77,2.38,1.07,0.34,3.79,3.74,1.67
user_8,1,2015-03-17,price,0,4,2.3,1.39,2.12,2.77,2.38,1.07,0.34,3.79,3.74,1.67
user_8,1,2015-03-17,location,1,4,2.3,1.39,2.12,2.77,2.38,1.07,0.34,3.79,3.74,1.67
user_9,4,2019-05-06,food,1,2,3.2,0.3,2.63,3.29,3.35,0.9,0.35,3.04,2.24,2.39
user_9,4,2019-05-06,service,1,2,3.2,0.3,2.63,3.29,3.35,0.9,0.35,3.04,2.24,2.39
user_9,4,2019-05-06,ambience,1,2,3.2,0.3,2.63,3.29,3.35,0.9,0.35,3.04,2.24,2.39
user_9,4,2019-05-06,price,1,2,3.2,0.3,2.63,3.29,3.35,0.9,0.35,3.04,2.24,2.39
user_9,4,2019-05-06,location,1,2,3.2,0.3,2.63,3.29,3.35,0.9,0.35,3.04,2.24,2.39
user_10,5,2018-04-03,food,1,4,3.0,1.43,2.39,2.58,2.6,0.07,0.41,3.63,3.76,2.12
user_10,5,2018-04-03,service,1,4,3.0,1.43,2.39,2.58,2.6,0.07,0.41,3.63,3.76,2.12
user_10,5,2018-04-03,ambience,1,4,3.0,1.43,2.39,2.58,2.6,0.07,0.41,3.63,3.76,2.12
user_10,5,2018-04-03,price,0,4,3.0,1.43,2.39,2.58,2.6,0.07,0.41,3.63,3.76,2.12
user_10,5,2018-04-03,location,1,4,3.0,1.43,2.39,2.58,2.6,0.07,0.41,3.63,3.76,2.12
user_11,4,2018-06-18,food,1,0,2.92,0.12,3.5,1.34,4.34,0.74,0.41,3.92,1.82,2.2
user_11,4,2018-06-18,service,1,0,2.92,0.12,3.5,1.34,4.34,0.74,0.41,3.92,1.82,2.2
user_11,4,2018-06-18,ambience,1,0,2.92,0.12,3.5,1.34,4.34,0.74,0.41,3.92,1.82,2.2
user_11,4,2018-06-18,price,1,0,2.92,0.12,3.5,1.34,4.34,0.74,0.41,3.92,1.82,2.2
user_11,4,2018-06-18,location,1,0,2.92,0.12,3.5,1.34,4.34,0.74,0.41,3.92,1.82,2.2
user_12,3,2019-12-31,food,1,3,3.08,0.59,2.69,3.17,3.52,0.0,1.13,2.71,2.56,1.78
user_12,3,2019-12-31,service,-1,3,3.08,0.59,2.69,3.17,3.52,0.0,1.13,2.71,2.56,1.78
user_12,3,2019-12-31,ambience,1,3,3.08,0.59,2.69,3.17,3.52,0.0,1.13,2.71,2.56,1.78
